Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","52"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","146.16"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","66.14"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","207.8"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","12.73"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","20.78"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","2.64"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.47"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.04"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","2530"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","56"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","602"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","1962"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","455"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","13.54"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","126.06"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","63.63"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","0.26"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","62.8"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","23.7"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","33.62"
"Bilans Alimentaires (2010-)","Argentine","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.02"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","74"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","8"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","28"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","46"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","12.88"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","0.42"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","8.7"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","0.49"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","1.03"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.04"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.09"
"Bilans Alimentaires (2010-)","Arménie","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","695"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","249"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","626"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","1245"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","222"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","100.52"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","146.26"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","309.62"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","46.91"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","111.09"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","28.23"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","70.56"
"Bilans Alimentaires (2010-)","Australie","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","1.5"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","136"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","429"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","172"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","36.5"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","24.57"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","60.96"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","6.27"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","15.04"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","2.25"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","4.56"
"Bilans Alimentaires (2010-)","Autriche","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.15"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","126"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","77"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","129"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","49"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","6.74"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","3.59"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","18.16"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","1.21"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","1.64"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.09"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.07"
"Bilans Alimentaires (2010-)","Azerbaïdjan","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","0.67"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","3.79"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","0.45"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","3.54"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.05"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","2.89"
"Bilans Alimentaires (2010-)","Bahamas","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","195"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","228"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","258"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","103"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","3469.71"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","89.89"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","254.89"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","294.17"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","224.99"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.06"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Bangladesh","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.07"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","17"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","0.27"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","0.39"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","8.15"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","4.99"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","0.58"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.13"
"Bilans Alimentaires (2010-)","Barbade","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.11"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","162"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","313"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","266"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","79"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","12.5"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","28.41"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","79.92"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","4.76"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","3.07"
"Bilans Alimentaires (2010-)","Bélarus","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.97"
