Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Intensités des émissions","Grenade","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8538"
"Intensités des émissions","Guatemala","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2191"
"Intensités des émissions","Guinée","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","6.7434"
"Intensités des émissions","Guinée équatoriale","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","4.8339"
"Intensités des émissions","Guinée-Bissau","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.4356"
"Intensités des émissions","Guyana","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.3031"
"Intensités des émissions","Haïti","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.3263"
"Intensités des émissions","Honduras","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8074"
"Intensités des émissions","Hongrie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2091"
"Intensités des émissions","Îles Cook","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.4615"
"Intensités des émissions","Îles Salomon","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.0375"
"Intensités des émissions","Inde","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3752"
"Intensités des émissions","Indonésie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.814"
"Intensités des émissions","Iran (République islamique d')","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.5437"
"Intensités des émissions","Iraq","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.932"
"Intensités des émissions","Irlande","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2934"
"Intensités des émissions","Israël","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.272"
"Intensités des émissions","Italie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2621"
"Intensités des émissions","Jamaïque","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3851"
